number species area conage seedflightrate seedtravelbreeze seeddescent distanceratio seedprodfactor germinationrate germinationweatherinfluence gdbasalfacq gdbasalfac gdbasalconst gdbreastfacq gdbreastfac gdbreastconst dbasalheightalloslope dbasalheightalloexp dbreastheightalloslope dbreastheightalloexp dbasalheightslopenonlin dbreastheightslopenonlin heightloga heightlogb heightlogc mortbg maximumage mortage mortyouth mortyouthinfluenceexp mgrowth mdensity densityvaluemaximumatheight mweather heightweathermorteinflussexp mwindthrow mdrought seedconemort seedfloormort seedmaxage janthresholdtemp janthresholdtempcalcvalue weathervariablea weathervariableb weathervariablec weathervariabled minactivelayer minsoilwater maxsoilwater rootingdepth relbarkthickness resprouting biomassleafbase biomassleaffaca biomassleaffacb biomasswoodbase biomasswoodfaca biomasswoodfacb lightdemand spg
22 JUSA 1 1.5 0.8 55.84375043 0.497419632 0.16 16 0.01 0.45 -0.002826103 -0.014607353 -3.320745986 -0.002826103 -0.014607353 -3.320745986 42.88 1 42.88 1 44.43163 7.02 8.632151 2.596377 2.512389 0.0001 500 8.18785 0.4 0.79295 0.01 0.2 0 0.1 0.2 0.01 0.5 0.5 0.5 20 -31.88747959 6.6 1 32.80299931 0 1 104 1.5 58 104 2 0.01 -2.167 1.295 0 -2.645 1.654 0 3 0.6
23 JUSL 1 2 0.8 104.7071679 0.397935189 0.16 16 0.01 0.45 -0.002826103 -0.014607353 -3.320745986 -0.002826103 -0.014607353 -3.320745986 42.88 1 42.88 1 44.43163 7.02 8.632151 2.596377 2.512389 0.0001 500 8.18785 0.4 0.79295 0.01 0.2 0 0.1 0.2 0.01 0.5 0.5 0.5 20 -18.14999924 6.6 1 21.84500027 0 1 180 2.3 46.7 0 2 0.01 -2.167 1.295 0 -2.645 1.654 0 1 0.6
24 JUSQ 1 3 0.8 62.43538466 0.444904407 0.16 16 0.01 0.45 -0.002826103 -0.014607353 -3.320745986 -0.002826103 -0.014607353 -3.320745986 42.88 1 42.88 1 44.43163 7.02 8.632151 2.596377 2.512389 0.0001 500 8.18785 0.4 0.79295 0.01 0.2 0 0.1 0.2 0.01 0.5 0.5 0.5 20 -16.62899931 6.6 1 23.3359997 0 1 180 1.2 68.8 0 2 0.01 -2.167 1.295 0 -2.645 1.654 0 1 0.6
25 JUTI 1 3 0.8 222.1178847 0.375176152 0.16 16 0.01 0.45 -0.002826103 -0.014607353 -3.320745986 -0.002826103 -0.014607353 -3.320745986 42.88 1 42.88 1 44.43163 7.02 10.026752 3.018461 3.336145 0.0001 500 8.18785 0.4 0.79295 0.01 0.2 0 0.1 0.2 0.01 0.5 0.5 0.5 20 -16.62899931 6.6 1 23.3359997 0 1 180 1.2 68.8 0 2 0.01 -2.167 1.295 0 -2.645 1.654 0 1 0.6
26 LAGM 1 15 0.8 596.0704488 0.163105254 0.16 16 0.01 0.45 -0.00567 -0.0324 -2.35 -0.00567 -0.0324 -2.35 42.88 1 42.88 1 44.43163 7.02 9.415 2.83 2.214 0.0001 609 8.18785 0.4 0.79295 0.01 0.2 0 0.1 0.2 0.01 0.5 0.5 0.5 4 -43.48884459 6.6 1 25.50527151 0 1 130 21.1 40 50 2 0.01 0 1.955683 0 0 3.553949 0 1 0.6
27 LAGR 1 15 0.8 333.7299315 0.166468603 0.16 16 0.01 0.45 -0.00174 -0.0114 -2.16 -0.00174 -0.0114 -2.16 42.88 1 42.88 1 44.43163 7.02 10.849776 3.960942 2.295403 0.0001 600 8.18785 0.4 0.79295 0.01 0.2 0 0.1 0.2 0.01 0.5 0.5 0.5 4 -19.5 6.6 1 24.28820251 0 1 130 3 46.7 130 1 0 0 0 0 -2.1447 2.3483 0 1 0.6
28 LAHI 1 15 0.8 128.4859882 0.151335136 0.16 16 0.01 0.45 -0.00174 -0.0114 -2.16 -0.00174 -0.0114 -2.16 42.88 1 42.88 1 44.43163 7.02 10.849776 3.960942 2.295403 0.0001 500 8.18785 0.4 0.79295 0.01 0.2 0 0.1 0.2 0.01 0.5 0.5 0.5 4 -19.5 6.6 1 24.28820251 0 1 130 3 46.7 0 2 0.01 0 0 0 -2.1447 2.3483 0 1 0.6
29 LAKA 1 15 0.8 620.4872286 0.13430306 0.16 16 0.01 0.45 -0.00174 -0.0114 -2.16 -0.00174 -0.0114 -2.16 42.88 1 42.88 1 44.43163 7.02 10.849776 3.960942 2.295403 0.0001 500 8.18785 0.4 0.79295 0.01 0.2 0 0.1 0.2 0.01 0.5 0.5 0.5 3 -12.74135344 6.6 1 29.23400002 0 1 190 3 46.7 190 1 0.01 0 0 0 -2.1447 2.3483 0 3 0.6
30 LAOL 1 15 0.8 450.5352219 0.184965191 0.16 16 0.01 0.45 -0.00174 -0.0114 -2.16 -0.00174 -0.0114 -2.16 42.88 1 42.88 1 44.43163 7.02 10.849776 3.960942 2.295403 0.0001 400 8.18785 0.4 0.79295 0.01 0.2 0 0.1 0.2 0.01 0.5 0.5 0.5 3 -19.5 6.6 1 24.28820251 0 1 130 3 46.7 0 2 0.01 0 0 0 -2.1447 2.3483 0 1 0.6
31 LAPO 1 15 0.8 750.8939613 0.184964717 0.16 16 0.01 0.45 -0.00174 -0.0114 -2.16 -0.00174 -0.0114 -2.16 42.88 1 42.88 1 44.43163 7.02 10.849776 3.960942 2.295403 0.0001 400 8.18785 0.4 0.79295 0.01 0.2 0 0.1 0.2 0.01 0.5 0.5 0.5 4 -19.5 6.6 1 24.28820251 0 1 130 3 46.7 0 1 0 0 0 0 -2.1447 2.3483 0 1 0.6
