;Y;X;Hoehe;Dbasal;Dbrust;Cones;Alter;;;;;;;;;;;
203;38.6;28.8;500;8.75;5.57;1;126;;;;;;;;;;;
204;38.6;44.8;500;8.75;5.57;1;126;;;;;;;;;;;
205;38.6;60.8;500;8.75;5.57;1;126;;;;;;;;;;;
206;38.6;76.8;500;8.75;5.57;1;126;;;;;;;;;;;
207;38.6;92.8;500;8.75;5.57;1;126;;;;;;;;;;;
208;8.6;12.8;500;8.75;5.57;1;126;;;;;;;;;;;
209;8.6;28.8;500;8.75;5.57;1;126;;;;;;;;;;;
210;8.6;44.8;500;8.75;5.57;1;126;;;;;;;;;;;
211;8.6;60.8;500;8.75;5.57;1;126;;;;;;;;;;;
212;8.6;76.8;500;8.75;5.57;1;126;;;;;;;;;;;
213;8.6;92.8;500;8.75;5.57;1;126;;;;;;;;;;;
214;90.6;0;500;9.23;5.73;1;128;;;;;;;;;;;
215;90.6;16;500;9.23;5.73;1;128;;;;;;;;;;;
216;90.6;32;500;9.23;5.73;1;128;;;;;;;;;;;
217;90.6;48;500;9.23;5.73;1;128;;;;;;;;;;;
218;90.6;64;500;9.23;5.73;1;128;;;;;;;;;;;
219;90.6;80;500;9.23;5.73;1;128;;;;;;;;;;;
220;90.6;96;500;9.23;5.73;1;128;;;;;;;;;;;
221;60.6;0;500;9.23;5.73;1;128;;;;;;;;;;;
222;60.6;16;500;9.23;5.73;1;128;;;;;;;;;;;
223;60.6;32;500;9.23;5.73;1;128;;;;;;;;;;;
224;60.6;48;500;9.23;5.73;1;128;;;;;;;;;;;
225;60.6;64;500;9.23;5.73;1;128;;;;;;;;;;;
226;60.6;80;500;9.23;5.73;1;128;;;;;;;;;;;
227;60.6;96;500;9.23;5.73;1;128;;;;;;;;;;;
228;30.6;0;500;9.23;5.73;1;128;;;;;;;;;;;
229;30.6;16;500;9.23;5.73;1;128;;;;;;;;;;;
230;30.6;32;500;9.23;5.73;1;128;;;;;;;;;;;
231;30.6;48;500;9.23;5.73;1;128;;;;;;;;;;;
232;30.6;64;500;9.23;5.73;1;128;;;;;;;;;;;
233;30.6;80;500;9.23;5.73;1;128;;;;;;;;;;;
234;30.6;96;500;9.23;5.73;1;128;;;;;;;;;;;
235;0.6;0;500;9.23;5.73;1;128;;;;;;;;;;;
236;0.6;16;500;9.23;5.73;1;128;;;;;;;;;;;
237;0.6;32;500;9.23;5.73;1;128;;;;;;;;;;;
238;0.6;48;500;9.23;5.73;1;128;;;;;;;;;;;
239;0.6;64;500;9.23;5.73;1;128;;;;;;;;;;;
240;0.6;80;500;9.23;5.73;1;128;;;;;;;;;;;
241;0.6;96;500;9.23;5.73;1;128;;;;;;;;;;;
242;93.4;12;600;10.50;6.37;0;133;;;;;;;;;;;
243;93.4;28;600;10.50;6.37;0;133;;;;;;;;;;;
244;93.4;44;600;10.50;6.37;0;133;;;;;;;;;;;
245;93.4;60;600;10.50;6.37;0;133;;;;;;;;;;;
246;93.4;76;600;10.50;6.37;0;133;;;;;;;;;;;
247;93.4;92;600;10.50;6.37;0;133;;;;;;;;;;;
248;63.4;12;600;10.50;6.37;0;133;;;;;;;;;;;
249;63.4;28;600;10.50;6.37;0;133;;;;;;;;;;;
250;63.4;44;600;10.50;6.37;0;133;;;;;;;;;;;
251;63.4;60;600;10.50;6.37;0;133;;;;;;;;;;;
252;63.4;76;600;10.50;6.37;0;133;;;;;;;;;;;
253;63.4;92;600;10.50;6.37;0;133;;;;;;;;;;;
254;33.4;12;600;10.50;6.37;0;133;;;;;;;;;;;
255;33.4;28;600;10.50;6.37;0;133;;;;;;;;;;;
256;33.4;44;600;10.50;6.37;0;133;;;;;;;;;;;
257;33.4;60;600;10.50;6.37;0;133;;;;;;;;;;;
258;33.4;76;600;10.50;6.37;0;133;;;;;;;;;;;
259;33.4;92;600;10.50;6.37;0;133;;;;;;;;;;;
260;3.4;12;600;10.50;6.37;0;133;;;;;;;;;;;
261;3.4;28;600;10.50;6.37;0;133;;;;;;;;;;;
262;3.4;44;600;10.50;6.37;0;133;;;;;;;;;;;
263;3.4;60;600;10.50;6.37;0;133;;;;;;;;;;;
264;3.4;76;600;10.50;6.37;0;133;;;;;;;;;;;
265;3.4;92;600;10.50;6.37;0;133;;;;;;;;;;;
266;96.2;0.8;500;12.10;7.00;1;138;;;;;;;;;;;
267;96.2;16.8;500;12.10;7.00;1;138;;;;;;;;;;;
268;96.2;32.8;500;12.10;7.00;1;138;;;;;;;;;;;
269;96.2;48.8;500;12.10;7.00;1;138;;;;;;;;;;;
270;96.2;64.8;500;12.10;7.00;1;138;;;;;;;;;;;
271;96.2;80.8;500;12.10;7.00;1;138;;;;;;;;;;;
272;96.2;96.8;500;12.10;7.00;1;138;;;;;;;;;;;
273;66.2;0.8;500;12.10;7.00;1;138;;;;;;;;;;;
274;66.2;16.8;500;12.10;7.00;1;138;;;;;;;;;;;
275;66.2;32.8;500;12.10;7.00;1;138;;;;;;;;;;;
276;66.2;48.8;500;12.10;7.00;1;138;;;;;;;;;;;
277;66.2;64.8;500;12.10;7.00;1;138;;;;;;;;;;;
278;66.2;80.8;500;12.10;7.00;1;138;;;;;;;;;;;
279;66.2;96.8;500;12.10;7.00;1;138;;;;;;;;;;;
280;36.2;0.8;500;12.10;7.00;1;138;;;;;;;;;;;
281;36.2;16.8;500;12.10;7.00;1;138;;;;;;;;;;;
282;36.2;32.8;500;12.10;7.00;1;138;;;;;;;;;;;
283;36.2;48.8;500;12.10;7.00;1;138;;;;;;;;;;;
284;36.2;64.8;500;12.10;7.00;1;138;;;;;;;;;;;
285;36.2;80.8;500;12.10;7.00;1;138;;;;;;;;;;;
286;36.2;96.8;500;12.10;7.00;1;138;;;;;;;;;;;
287;6.2;0.8;500;12.10;7.00;1;138;;;;;;;;;;;
288;6.2;16.8;500;12.10;7.00;1;138;;;;;;;;;;;
289;6.2;32.8;500;12.10;7.00;1;138;;;;;;;;;;;
290;6.2;48.8;500;12.10;7.00;1;138;;;;;;;;;;;
291;6.2;64.8;500;12.10;7.00;1;138;;;;;;;;;;;
292;6.2;80.8;500;12.10;7.00;1;138;;;;;;;;;;;
293;6.2;96.8;500;12.10;7.00;1;138;;;;;;;;;;;
294;95.8;9.2;500;12.10;7.16;1;139;;;;;;;;;;;
295;95.8;25.2;500;12.10;7.16;1;139;;;;;;;;;;;
296;95.8;41.2;500;12.10;7.16;1;139;;;;;;;;;;;
297;95.8;57.2;500;12.10;7.16;1;139;;;;;;;;;;;
298;95.8;73.2;500;12.10;7.16;1;139;;;;;;;;;;;
299;95.8;89.2;500;12.10;7.16;1;139;;;;;;;;;;;
300;65.8;9.2;500;12.10;7.16;1;139;;;;;;;;;;;
301;65.8;25.2;500;12.10;7.16;1;139;;;;;;;;;;;
302;65.8;41.2;500;12.10;7.16;1;139;;;;;;;;;;;
303;65.8;57.2;500;12.10;7.16;1;139;;;;;;;;;;;
304;65.8;73.2;500;12.10;7.16;1;139;;;;;;;;;;;
305;65.8;89.2;500;12.10;7.16;1;139;;;;;;;;;;;
306;35.8;9.2;500;12.10;7.16;1;139;;;;;;;;;;;
307;35.8;25.2;500;12.10;7.16;1;139;;;;;;;;;;;
308;35.8;41.2;500;12.10;7.16;1;139;;;;;;;;;;;
309;35.8;57.2;500;12.10;7.16;1;139;;;;;;;;;;;
310;35.8;73.2;500;12.10;7.16;1;139;;;;;;;;;;;
311;35.8;89.2;500;12.10;7.16;1;139;;;;;;;;;;;
312;5.8;9.2;500;12.10;7.16;1;139;;;;;;;;;;;
313;5.8;25.2;500;12.10;7.16;1;139;;;;;;;;;;;
314;5.8;41.2;500;12.10;7.16;1;139;;;;;;;;;;;
315;5.8;57.2;500;12.10;7.16;1;139;;;;;;;;;;;
316;5.8;73.2;500;12.10;7.16;1;139;;;;;;;;;;;
317;5.8;89.2;500;12.10;7.16;1;139;;;;;;;;;;;
318;82.6;9.6;300;11.14;7.32;1;140;;;;;;;;;;;
319;82.6;25.6;300;11.14;7.32;1;140;;;;;;;;;;;
320;82.6;41.6;300;11.14;7.32;1;140;;;;;;;;;;;
321;82.6;57.6;300;11.14;7.32;1;140;;;;;;;;;;;
322;82.6;73.6;300;11.14;7.32;1;140;;;;;;;;;;;
323;82.6;89.6;300;11.14;7.32;1;140;;;;;;;;;;;
324;52.6;9.6;300;11.14;7.32;1;140;;;;;;;;;;;
325;52.6;25.6;300;11.14;7.32;1;140;;;;;;;;;;;
326;52.6;41.6;300;11.14;7.32;1;140;;;;;;;;;;;
327;52.6;57.6;300;11.14;7.32;1;140;;;;;;;;;;;
328;52.6;73.6;300;11.14;7.32;1;140;;;;;;;;;;;
329;52.6;89.6;300;11.14;7.32;1;140;;;;;;;;;;;
330;22.6;9.6;300;11.14;7.32;1;140;;;;;;;;;;;
331;22.6;25.6;300;11.14;7.32;1;140;;;;;;;;;;;
332;22.6;41.6;300;11.14;7.32;1;140;;;;;;;;;;;
333;22.6;57.6;300;11.14;7.32;1;140;;;;;;;;;;;
334;22.6;73.6;300;11.14;7.32;1;140;;;;;;;;;;;
335;22.6;89.6;300;11.14;7.32;1;140;;;;;;;;;;;
336;76.6;4;600;11.14;7.32;1;140;;;;;;;;;;;
337;76.6;20;600;11.14;7.32;1;140;;;;;;;;;;;
