Jan_prc Feb_prc Mar_prc Apr_prc Mai_prc Jun_prc Jul_prc Aug_prc Sep_prc Okt_prc Nov_prc Dez_prc
14.88 34.91 25.51 11.77 34.13 102 39.38 44.36 40.74 45.72 13.67 30.1
23.68 6.21 14.41 11.97 15.53 65.4 35.88 35.76 40.44 27.22 11.17 19.2
16.78 13.01 9.81 16.47 35.73 63.2 74.88 37.86 52.14 31.32 26.57 31.1
19.28 18.41 14.11 19.17 14.03 26.1 22.18 61.56 45.34 26.72 37.77 25.1
9.88 11.01 21.21 19.47 13.03 39.6 71.88 59.26 32.64 38.62 10.27 37.9
12.58 16.31 9.51 13.87 15.53 48.1 39.18 30.66 36.14 17.52 24.57 27.6
10.18 4.51 10.81 9.77 20.63 46.6 85.88 42.36 51.14 39.22 25.87 17.2
16.98 13.21 4.81 20.97 11.43 23.8 26.58 69.76 25.14 33.82 35.17 32.5
33.78 19.01 9.41 6.07 28.63 20.4 13.58 64.46 37.94 29.72 24.97 12.6
18.08 25.81 25.01 15.07 10.33 27.2 27.68 81.46 25.74 48.02 33.37 13.4
12.78 10.21 18.21 17.37 13.63 31.4 42.18 60.16 54.34 19.82 47.47 12.8
10.98 12.11 9.31 17.87 29.63 38.2 45.28 25.46 41.34 30.12 20.07 24.5
15.68 15.21 10.01 16.07 22.03 48.1 64.88 27.06 36.94 26.72 18.07 18.5
20.88 18.51 10.91 14.67 14.93 58.9 85.48 29.86 33.34 24.12 16.57 12.9
23.78 30.71 20.51 7.87 35.23 19.5 78.38 62.96 27.14 22.82 28.87 12.5
8.08 6.51 7.01 17.87 20.83 43.5 27.38 61.06 28.24 29.52 17.37 17.2
6.78 12.41 15.81 12.07 12.93 14.7 92.88 53.76 42.64 21.22 14.87 12.1
10.68 19.61 8.21 8.47 11.03 50.6 54.68 90.96 55.04 45.02 35.97 15.9
16.98 8.31 9.81 13.37 20.03 98.9 36.98 16.06 23.44 40.92 20.47 8.3
6.78 11.51 6.61 18.27 6.43 24.2 39.78 26.86 35.54 19.52 28.07 32.4
5.28 15.21 12.41 20.77 26.03 12.5 64.98 25.86 61.44 23.62 28.77 17.3
12.98 7.41 11.21 27.27 21.33 14.4 30.78 58.96 17.04 66.72 28.67 44
20.88 9.61 8.11 14.47 10.53 30.3 55.98 63.66 44.44 30.02 21.37 18.4
15.98 9.51 15.51 13.27 17.03 24.4 38.58 52.66 27.24 39.22 19.17 14.8
19.78 26.81 9.61 3.87 33.23 14.5 55.08 66.66 55.14 33.52 43.27 16.9
26.38 10.41 10.81 10.17 41.63 22.6 64.88 95.66 31.74 36.42 26.67 14.7
32.78 16.51 13.11 10.67 16.43 53.5 40.48 44.66 32.44 37.52 26.47 32.3
22.48 11.51 18.71 19.57 13.03 21.9 61.78 49.46 56.84 21.42 27.37 10.6
41.18 7.91 6.41 10.37 19.93 72.2 48.18 58.26 38.64 49.82 37.37 18.3
40.28 19.11 21.41 14.07 11.33 34.4 72.78 50.36 22.94 35.62 20.47 20.1
19.68 20.81 15.51 10.87 32.73 30.6 33.88 22.26 20.14 31.22 27.47 22.6
9.48 22.81 7.31 8.77 9.53 23.2 16.18 29.56 39.64 25.22 24.57 10.2
13.88 15.21 10.31 13.07 15.63 23.8 29.58 29.36 47.74 21.62 17.37 12.8
18.68 7.91 13.71 17.87 22.43 25.6 44.28 30.46 56.84 18.82 10.87 16
17.28 16.01 7.81 11.87 24.53 42.2 27.88 89.46 42.84 28.42 13.97 14.5
13.78 20.61 15.11 13.87 12.43 40.8 21.98 28.06 46.24 23.82 26.27 26.7
12.08 11.71 9.71 9.87 10.73 100.8 46.38 83.56 50.14 28.22 21.57 35
14.48 12.81 25.81 15.57 30.93 37.5 75.58 22.96 52.44 44.02 20.07 9.2
27.58 21.51 17.91 22.37 26.03 40 38.38 36.96 37.04 34.22 15.27 14.4
14.58 25.41 19.01 16.37 20.53 27.6 82.58 42.06 31.44 37.62 39.27 21.7
15.68 35.61 26.11 12.47 35.13 104 41.78 46.96 42.64 47.32 14.77 31.1
24.48 6.91 15.01 12.67 16.53 67.4 38.28 38.36 42.34 28.82 12.27 20.2
17.58 13.71 10.41 17.17 36.73 65.2 77.28 40.46 54.04 32.92 27.67 32.1
20.08 19.11 14.71 19.87 15.03 28.1 24.58 64.16 47.24 28.32 38.87 26.1
10.68 11.71 21.81 20.17 14.03 41.6 74.28 61.86 34.54 40.22 11.37 38.9
13.38 17.01 10.11 14.57 16.53 50.1 41.58 33.26 38.04 19.12 25.67 28.6
10.98 5.21 11.41 10.47 21.63 48.6 88.28 44.96 53.04 40.82 26.97 18.2
17.78 13.91 5.41 21.67 12.43 25.8 28.98 72.36 27.04 35.42 36.27 33.5
34.58 19.71 10.01 6.77 29.63 22.4 15.98 67.06 39.84 31.32 26.07 13.6
18.88 26.51 25.61 15.77 11.33 29.2 30.08 84.06 27.64 49.62 34.47 14.4
13.58 10.91 18.81 18.07 14.63 33.4 44.58 62.76 56.24 21.42 48.57 13.8
11.78 12.81 9.91 18.57 30.63 40.2 47.68 28.06 43.24 31.72 21.17 25.5
15.28 10.41 11.81 18.27 26.53 32.9 45.98 29.26 50.04 25.22 15.97 20.8
18.28 7.61 13.41 17.57 21.93 24.7 43.18 29.26 55.94 18.12 10.37 15.5
