Y;X;Hoehe;Dbasal;Dbrust;Cones;Alter
72;140.2;165.6;550;11.46;6.84;1;110
73;140.2;181.6;550;11.46;6.84;1;110
74;140.2;197.6;550;11.46;6.84;1;110
75;110.2;101.6;550;11.46;6.84;1;110
76;110.2;117.6;550;11.46;6.84;1;110
77;110.2;133.6;550;11.46;6.84;1;110
78;110.2;149.6;550;11.46;6.84;1;110
79;110.2;165.6;550;11.46;6.84;1;110
80;110.2;181.6;550;11.46;6.84;1;110
81;110.2;197.6;550;11.46;6.84;1;110
82;174.6;100.4;300;6.37;3.5;1;110
83;174.6;116.4;300;6.37;3.5;1;110
84;174.6;132.4;300;6.37;3.5;1;110
85;174.6;148.4;300;6.37;3.5;1;110
86;174.6;164.4;300;6.37;3.5;1;110
87;174.6;180.4;300;6.37;3.5;1;110
88;174.6;196.4;300;6.37;3.5;1;110
89;144.6;100.4;300;6.37;3.5;1;110
90;144.6;116.4;300;6.37;3.5;1;110
91;144.6;132.4;300;6.37;3.5;1;110
92;144.6;148.4;300;6.37;3.5;1;110
93;144.6;164.4;300;6.37;3.5;1;110
94;144.6;180.4;300;6.37;3.5;1;110
95;144.6;196.4;300;6.37;3.5;1;110
96;114.6;100.4;300;6.37;3.5;1;110
97;114.6;116.4;300;6.37;3.5;1;110
98;114.6;132.4;300;6.37;3.5;1;110
99;114.6;148.4;300;6.37;3.5;1;110
100;114.6;164.4;300;6.37;3.5;1;110
101;114.6;180.4;300;6.37;3.5;1;110
102;114.6;196.4;300;6.37;3.5;1;110
103;174.2;102;390;6.37;4.14;1;115
104;174.2;118;390;6.37;4.14;1;115
105;174.2;134;390;6.37;4.14;1;115
106;174.2;150;390;6.37;4.14;1;115
107;174.2;166;390;6.37;4.14;1;115
108;174.2;182;390;6.37;4.14;1;115
109;174.2;198;390;6.37;4.14;1;115
110;144.2;102;390;6.37;4.14;1;115
111;144.2;118;390;6.37;4.14;1;115
112;144.2;134;390;6.37;4.14;1;115
113;144.2;150;390;6.37;4.14;1;115
114;144.2;166;390;6.37;4.14;1;115
115;144.2;182;390;6.37;4.14;1;115
116;144.2;198;390;6.37;4.14;1;115
117;114.2;102;390;6.37;4.14;1;115
118;114.2;118;390;6.37;4.14;1;115
119;114.2;134;390;6.37;4.14;1;115
120;114.2;150;390;6.37;4.14;1;115
121;114.2;166;390;6.37;4.14;1;115
122;114.2;182;390;6.37;4.14;1;115
123;114.2;198;390;6.37;4.14;1;115
124;185;115.2;380;8.28;4.46;1;118
125;185;131.2;380;8.28;4.46;1;118
126;185;147.2;380;8.28;4.46;1;118
127;185;163.2;380;8.28;4.46;1;118
128;185;179.2;380;8.28;4.46;1;118
129;185;195.2;380;8.28;4.46;1;118
130;155;115.2;380;8.28;4.46;1;118
131;155;131.2;380;8.28;4.46;1;118
132;155;147.2;380;8.28;4.46;1;118
133;155;163.2;380;8.28;4.46;1;118
134;155;179.2;380;8.28;4.46;1;118
135;155;195.2;380;8.28;4.46;1;118
136;125;115.2;380;8.28;4.46;1;118
137;125;131.2;380;8.28;4.46;1;118
138;125;147.2;380;8.28;4.46;1;118
139;125;163.2;380;8.28;4.46;1;118
140;125;179.2;380;8.28;4.46;1;118
141;125;195.2;380;8.28;4.46;1;118
142;191.8;104;265;9.23;5.41;1;125
143;191.8;120;265;9.23;5.41;1;125
144;191.8;136;265;9.23;5.41;1;125
145;191.8;152;265;9.23;5.41;1;125
