Jan_prc Feb_prc Mar_prc Apr_prc Mai_prc Jun_prc Jul_prc Aug_prc Sep_prc Okt_prc Nov_prc Dez_prc
2.58 1.25 2.7 32.19 44.68 86.81 115.56 150.87 48.38 10.72 6.52 3.64
1.21 1.78 2.44 14.87 51.52 37.22 102.72 42.92 45.86 42.84 25.2 3.81
1.49 1.87 9.75 38.89 88.2 59.76 24.62 97.01 56.47 30.25 17.85 6.02
2.55 1.89 10.38 34.9 46.37 47.44 81.88 53.67 31.62 45.59 11.44 9.78
1.87 3 8.78 18.78 86.68 57.91 37.96 72.41 32.94 23.33 11.93 4.13
1.88 1.49 11.24 29.54 68.88 39.54 38.7 30.99 68.81 30.83 11.2 5.4
1.83 1.1 6.42 38.09 40.19 16.51 119.7 111.36 17.91 21.36 8 4.7
1.34 0.53 3.42 23.8 80.4 142.47 40.83 84.21 64.93 17.95 6.32 0.55
1.88 0.67 1.79 8.65 78.27 115.72 105.57 76.54 57.12 36.25 23.9 0.65
2.34 1.52 7.04 25.15 26.84 40.59 171.37 103.01 53.53 88.37 8.01 2.69
2.82 1.26 2.37 30.98 38.75 119.65 110.89 156.44 47.33 11.15 4.37 1.42
1.29 1.98 1.72 16.92 45.14 50.17 97.22 45.6 44.8 59 21.23 1.7
1.54 1.88 9.38 45.96 76.65 81.35 23.31 102.01 55.68 31.35 14.65 3.97
2.78 1.92 10.26 40.96 40.75 64.58 77.5 56.43 30.87 64.11 8.47 5.45
2.05 3.14 8.9 22.39 90.73 53.71 40.6 70.59 34.41 23.41 8.17 1.38
1.99 1.54 12.29 31.52 60.68 53.3 36.48 37.32 64.74 35.33 7.79 3.11
1.89 1.08 5.77 44.39 34.97 22.47 113.29 117.1 17.43 29.29 5.84 1.87
10.1 3.98 11.8 33.89 58.95 262.1 61.61 38.94 57.16 20.53 13.92 5.28
14.4 5.41 6.49 10.52 57.23 212.89 159.3 35.42 51.5 42.89 32.94 6.29
