Jan_tmp Feb_tmp Mar_tmp Apr_tmp Mai_tmp Jun_tmp Jul_tmp Aug_tmp Sep_tmp Okt_tmp Nov_tmp Dez_tmp
-28.8 -32.2 -27 -23.3 -5.6 7.3 10.7 8.1 2.3 -13.2 -25.1 -20.8
-41.4 -35.4 -30.4 -18.1 -7.1 0.6 12.6 9.2 1.4 -11.9 -29.2 -33.7
-34.6 -29.7 -29.5 -20.8 -8.1 3.1 14.5 8 0.1 -10.4 -22.6 -34.5
-35.4 -33.4 -27.3 -18.7 -8.8 7.6 11.7 8.3 2 -11.1 -22.2 -30.9
-27.5 -32.6 -26.5 -24.3 -8 6.1 18.3 7.8 2.6 -12.2 -28.1 -30.5
-30.6 -30.6 -24.9 -21.7 -7.5 6.1 10.8 10.7 2.9 -10.6 -19.5 -31.7
-37.7 -29.3 -31.4 -16 -9.4 3.3 11.2 11.2 0.8 -18.8 -32.6 -31.2
-21.5 -32.2 -28.1 -16.1 -10.3 4.7 10.9 9.7 -0.9 -14.5 -21 -30.1
-34.7 -30.5 -30 -16.6 -7 2 12.4 11.3 1.5 -8.6 -32.4 -22.2
-43.2 -45.6 -32.9 -20.3 -9.7 9.1 15.7 8.5 0.4 -15.7 -29.4 -30.1
-39.5 -31.7 -30.7 -20.6 -5.3 5.2 14 10.6 0.4 -9.9 -21.2 -39.6
-33.9 -37.1 -31.2 -15.4 -3.5 5.3 11.2 6.5 -0.3 -18.5 -29.5 -35.6
-30.6 -35.4 -29.5 -13.7 -8.2 5.4 9.9 6.5 0.9 -16.8 -29.4 -37.2
-30.8 -33.5 -28.1 -15.3 -6 7 12.5 8.6 2.3 -14.4 -27.8 -28.5
-31.7 -32.3 -27.3 -17.6 -4.5 7.8 14.3 9.9 3 -12.7 -27 -20.5
-39.1 -31 -22.2 -15.4 -6.8 6 10.1 10.2 2 -18.7 -34.7 -33.5
-34.5 -28.1 -22.3 -19.5 -7.4 4.1 12.9 10.7 1.3 -13.4 -30.4 -33.9
-37.2 -32.8 -29.8 -14.7 -10.3 5.2 12.3 8.3 -1.1 -12.2 -31.4 -32.9
-35 -34.6 -24.9 -19.3 -5.8 5.4 14.3 14.2 3.3 -14 -20.3 -26.1
-33.9 -36 -25.5 -19.9 -9.2 3.5 14.4 7 1.7 -14.1 -23.8 -26.5
-35.3 -39.4 -28.8 -19.1 -6.6 6.1 16.7 10 0 -13.1 -20.6 -28.2
-32.1 -28.4 -20 -12.7 -8.8 3.6 12.3 8 1.1 -12.8 -35 -37
-35.9 -32 -26.2 -13.4 -7.2 5.7 16.9 8.5 1.8 -4.1 -17.7 -21.9
-39.9 -40.7 -34.5 -20.4 -7.5 3.3 12.1 9.1 1 -15.8 -28.8 -21.1
-36 -36.9 -25.2 -16.9 -8.6 0.1 15.2 11.1 2.1 -13 -31 -28.6
-34.5 -20.2 -32 -20.6 -9.4 2.5 13.7 10.1 4.5 -11.2 -22.3 -27.7
-30.1 -29.7 -27.6 -20.2 -9 5.2 12.6 9.6 -0.3 -11.3 -22.3 -33.2
-29.3 -30.1 -25.6 -15.4 -8.8 3.6 13.3 11 2.2 -11 -27.9 -36.5
-40.7 -35 -20.1 -17.9 -8 2.8 11.2 8.2 2.9 -12.4 -25.2 -34.4
-35.2 -38.9 -31.8 -19.3 -5.8 9.1 11.5 7.8 1.3 -14.8 -28.3 -23.3
-36.8 -27.9 -21.5 -18.9 -8.3 10.7 14.9 12.8 2.7 -12 -25.6 -31.7
-32 -36.5 -31.5 -21 -8.3 1.9 15.5 5.9 -1.3 -16.8 -34 -38.5
-33.6 -35 -27.3 -21 -4.7 9.5 13.5 10.9 -3.9 -20.1 -33.5 -35.2
-32.8 -33.8 -27.4 -19.4 -4.7 8.5 13.8 10.3 -0.5 -16.5 -30.3 -27.9
-31.8 -32.4 -27.4 -17.7 -4.6 7.7 14.2 9.8 2.9 -12.8 -27.1 -20.6
-39.2 -31.1 -22.3 -15.5 -6.9 5.9 10 10.1 1.9 -18.8 -34.8 -33.6
-34.6 -28.2 -22.4 -19.6 -7.5 4 12.8 10.6 1.2 -13.5 -30.5 -34
-37.3 -32.9 -29.9 -14.8 -10.4 5.1 12.2 8.2 -1.2 -12.3 -31.5 -33
