224.79 219.65 219.65 204.57 9999 205.19 207.07 212.2 212.2 221.73 219.75 219.75 218.84 219.18 219.18 221.39 222.87 222.87 225.59 225.68 225.68 224.44 223.9 223.9 222.46 222.58 223.27 223.27 223.06 223.15 223.15 225.99 219.87 219.87 210.41 208.7 9999 9999 9999 9999 9999 212 212 215.13 224.71 224.71 226.43 227.46 227.46 227.03 221.81 215.61 215.61 213.85 214.19 214.19 214.75 214.6 214.6 215.87 218.38 218.38 228.01 227.97 227.97 228.76
214.05 206.02 206.02 9999 9999 206.08 208.68 210.52 210.52 221.04 219.32 219.32 220.82 221.29 221.29 224.92 225.03 225.03 224.77 226.48 226.48 223.99 224.54 224.54 223.53 223 223.83 223.83 223.11 224.01 224.01 224.37 210.27 210.27 209.03 208.74 208.74 9999 9999 9999 9999 9999 209.16 9999 222.41 222.41 226.11 226.08 226.08 226.5 223.22 219.24 219.24 216.56 214.19 214.19 214.29 214.32 214.32 215.2 217.96 217.96 227.77 229.14 229.14 229.02
214.05 206.02 9999 9999 9999 206.08 208.68 210.52 210.52 221.04 220.12 220.12 221.97 222.26 222.26 222.04 222.17 222.17 222.23 223.16 223.16 221.65 222 222 222.52 223.36 223.68 223.68 223.45 224.81 224.81 218.59 208.35 9999 208.85 209.09 209.09 208.94 208.83 208.83 9999 209.16 209.16 209.3 222.41 222.41 226.11 226.08 226.08 226.5 223.22 219.24 219.24 216.56 214.25 214.25 215.36 213.61 213.61 213.3 216.09 216.09 226.07 226.18 226.18 227.82
208.23 205.45 205.45 9999 9999 205.6 208.94 210.26 210.26 221.06 222.78 222.78 222.2 222.06 222.06 221.83 222.02 222.02 222.65 223.14 223.14 223.72 223.37 223.37 223.36 223.61 223.93 223.93 223.28 224.81 224.81 218.59 208.35 9999 208.85 209.09 209.09 208.94 208.83 208.83 208.91 209.3 209.3 210.3 222.98 222.98 224.52 223.18 223.18 223.82 225.45 221.71 221.71 216.5 216.07 216.07 212.94 210.33 210.33 211.04 214.43 214.43 222.55 224.34 224.34 227.77
209.99 207.65 207.65 204.99 9999 9999 207.07 208.72 208.72 220.38 223.81 223.81 221.94 222.19 222.19 222.9 223.46 223.46 226.07 226.38 226.38 226.33 226.42 226.42 226.21 223.55 223.65 223.65 223.59 220.34 220.34 212.03 9999 9999 209.15 209.13 209.13 209.34 210.46 210.46 210.65 213.97 213.97 220.31 223.63 223.63 221.19 220.93 220.93 222.36 225.3 224.64 224.64 220.86 218.6 218.6 210.79 209.72 209.72 209.34 213.26 213.26 219.64 217.93 217.93 225.28
209.99 207.65 207.65 205.26 9999 9999 9999 206.69 206.69 218.47 222.07 222.07 221.88 222.74 222.74 225.22 226.32 226.32 228.07 228.12 228.12 224.62 224.53 224.53 223.47 223.95 224.05 224.05 223.07 219.74 219.74 212.47 208.78 208.78 209.48 209.13 209.13 209.34 210.46 210.46 210.65 213.97 213.97 220.31 223.63 223.63 221.19 219.86 219.86 221.97 222.94 224.87 224.87 224.41 222.9 222.9 216.03 210.65 210.65 210.67 212.75 212.75 216.83 215.88 215.88 221.38
214.43 210.77 210.77 207.99 206.56 9999 9999 9999 206.23 214.99 220.02 220.02 222.87 225.08 225.08 225.8 226.82 226.82 226.65 224.52 224.52 223.06 222.86 222.86 223.68 223.82 223.49 223.49 223.28 219.06 219.06 212.96 209.32 209.32 210.51 211.1 211.1 211.47 211.02 211.02 211.42 218.79 218.79 223.23 220.22 220.22 216.88 215.94 215.94 215.61 217.28 219.22 219.22 225.1 224.93 224.93 222.16 217 217 213.55 212.98 212.98 215.83 215.98 215.98 220.14
214.43 210.77 210.77 207.99 206.56 206.56 205.42 206.23 206.23 214.99 219.95 219.95 224.51 226.38 226.38 226.64 226.59 226.59 222.83 222.53 222.53 224.05 224.34 224.34 225.84 225.82 222.29 222.29 222.72 221.17 221.17 216.41 211.25 211.25 211.23 211.89 211.89 212.33 210.25 210.25 210.2 218.79 218.79 223.23 220.22 220.22 216.88 215.94 215.94 215.61 217.28 219.22 219.22 224.46 226.07 226.07 225.53 223.96 223.96 215.98 211.79 211.79 215.3 213.98 213.98 220.85
222.48 216.47 216.47 210.31 208.19 208.19 206.7 207.31 207.31 214.6 220.71 220.71 223.08 223.3 223.3 224.6 223.99 223.99 223.21 224.86 224.86 225.62 226.64 226.64 226.42 223.76 221.44 221.44 222.72 221.17 221.17 216.41 211.25 211.25 211.23 211.89 211.89 212.33 210.25 210.25 210.2 216.03 216.03 218.77 217.46 217.46 215.48 215.49 215.49 215.26 215.02 216.18 216.18 222.56 224.94 224.94 227.33 225.41 225.41 216.54 212.62 212.62 215.39 213.67 213.67 221.15
223.85 223.18 223.18 214.62 211.54 211.54 209.86 212.08 212.08 220 224.23 224.23 223.33 223.96 223.96 224.54 225.7 225.7 227.05 226.52 226.52 224.4 224.16 224.16 222.45 219.36 218.18 218.18 221.51 223.32 223.32 222.97 221.11 221.11 219.2 215.59 215.59 213.5 210.82 210.82 9999 209.54 209.54 211.36 219.73 219.73 216.08 213.86 213.86 213.15 213.31 213.62 213.62 217.89 221.81 221.81 224.84 222.75 222.75 213.4 212.47 212.47 213.08 212.92 212.92 217.54
223.85 223.18 223.18 219.62 218.5 218.5 217.27 220.24 220.24 225.43 226.13 226.13 227.35 228.31 228.31 227.8 226.84 226.84 226.58 223.41 223.41 217 215.16 215.16 216.66 216.46 215.57 215.57 219.86 224.78 224.78 226.93 223.61 223.61 219.2 215.59 215.59 213.5 210.82 210.82 209.5 209.54 209.54 211.36 219.73 219.73 216.08 214.05 214.05 214.44 212.65 212.67 212.67 214.1 219.21 219.21 222.24 219.76 219.76 209.56 208.26 208.26 208.79 210.82 210.82 213.95
222.12 224.57 224.57 224.09 223.51 223.51 223.96 226.05 226.05 227 228.1 228.1 229.01 230.64 230.64 229.15 227.71 227.71 225.19 218.55 218.55 208.97 215.16 215.16 216.66 216.46 215.57 215.57 219.86 224.78 224.78 226.93 223.61 223.61 223.5 221.12 221.12 219.55 214.32 214.32 212.58 210.6 210.6 214.2 221.86 221.86 217.97 213.57 213.57 213.84 212.78 209.53 209.53 211.58 214.68 214.68 219.94 214.05 214.05 206.57 206.11 206.11 206.76 208.82 208.82 213.95
218.39 222.76 222.76 225.11 224.57 224.57 226.37 226.35 226.35 228.16 228.95 228.95 228.53 229.48 229.48 229.17 227.24 227.24 219.88 215.26 215.26 9999 9999 207.37 212.36 214.42 216 216 218.35 226.43 226.43 228.98 228.6 228.6 229.41 227.3 227.3 226.45 225.17 225.17 221.01 218.9 218.9 221.29 222.83 222.83 217.06 213.64 213.64 212.78 208.14 206.3 206.3 208.89 212.28 212.28 217.55 212.9 212.9 208.03 208.6 208.6 208.39 208.6 208.6 214.27
214.43 220.05 220.05 225.89 227.87 227.87 228.16 227.74 227.74 229.95 229.87 229.87 229.89 229.98 229.98 228.12 226.1 226.1 215.44 213.96 213.96 9999 9999 9999 210.86 214.02 216.94 216.94 218.35 226.43 226.43 228.98 228.6 228.6 229.41 227.3 227.3 226.45 225.17 225.17 224.08 225.32 225.32 225.76 223.27 223.27 219.81 214.09 214.09 209.58 206.7 205.8 205.8 206.11 208.57 208.57 215.17 214.91 214.91 209.46 208 208 209.01 208.69 208.69 210.95
212.85 216.62 216.62 226.74 229.34 229.34 229.4 229.35 229.35 228.1 229.14 229.14 229.65 230.2 230.2 228.12 226.1 226.1 215.44 213.96 213.96 207.99 9999 9999 210.86 214.02 216.94 216.94 218.75 227.26 227.26 228.8 228.6 228.6 227.24 228.5 228.5 228.23 226.84 226.84 226.27 226.2 226.2 226.38 223.43 223.43 220.71 210.35 210.35 207.01 206.21 205.73 205.73 206.51 207.35 207.35 214.57 217.48 217.48 209.46 208 208 209.01 208.69 208.69 210.95
213.34 215.9 215.9 227.12 228.46 228.46 229.56 227.81 227.81 228.79 229.1 229.1 229.33 229.48 229.48 224.19 217.74 217.74 212.46 211.27 211.27 208.28 207.71 9999 208.27 213.08 221.76 221.76 224.97 227.32 227.32 229.07 226.12 226.12 226.66 227.59 227.59 226.82 227.36 227.36 227.2 227.76 227.76 227.28 223.79 223.79 219.73 207.74 207.74 207.27 206.04 206.36 206.36 206.17 206.27 206.27 213.18 216.13 216.13 209.71 209.52 209.52 205.22 202.99 202.99 201.78
216.47 217.67 217.67 227.24 230.2 230.2 229.03 229.27 229.27 229.24 230.41 230.41 229.52 227.26 227.26 222.93 218.04 218.04 210.15 209.3 209.3 9999 207.71 9999 208.27 213.08 221.76 221.76 224.97 227.32 227.32 229.07 226.12 226.12 226.56 226.38 226.38 226.98 228.03 228.03 226.23 229.22 229.22 227.8 225.38 225.38 222.1 208.72 208.72 207.32 206.3 206.26 206.26 205.82 206.02 206.02 209.68 213.52 213.52 208.53 208.1 208.1 203.02 202.34 202.34 201.78
