Jan_tmp Feb_tmp Mar_tmp Apr_tmp Mai_tmp Jun_tmp Jul_tmp Aug_tmp Sep_tmp Okt_tmp Nov_tmp Dez_tmp
-32.5 -36.6 -31.7 -21.3 -8.5 1.8 15.3 6 -1.4 -16.7 -34.2 -38.4
-37.1 -28.4 -22 -19.2 -8.4 10.3 14.8 12.7 2.6 -11.9 -25.6 -31.5
-35.2 -39.1 -32.1 -19.7 -5.9 8.9 11.4 7.8 1.1 -14.9 -28.2 -23.6
-40.7 -35.1 -20.7 -18.1 -8.3 2.8 11.2 8.3 2.8 -12.3 -25.5 -34.4
-30.2 -30.5 -25.8 -15.8 -9 3.4 13.1 10.8 2 -11.4 -27.9 -36.4
-30.8 -30.5 -28.4 -20.5 -9.2 4.9 12.4 9.4 -0.5 -11.7 -22.9 -33.2
-35.1 -20.5 -32.2 -20.9 -9.6 2.5 13.5 9.9 4.3 -11.3 -22.6 -27.9
-36.1 -36.9 -25.8 -17.3 -8.9 0 15.1 10.9 2.1 -13.1 -30.6 -29
-40.1 -40.5 -34.6 -20.7 -7.9 3.1 12.1 9 0.9 -16.1 -28.7 -21.2
-36.3 -32.3 -26.4 -14 -7.3 5.4 16.5 8.5 1.7 -4.5 -18.1 -22.2
-32 -28.6 -20.6 -13.2 -8.9 3.5 12.2 8 1.1 -13.1 -35 -37.2
-35.3 -39.3 -29.3 -19.3 -6.7 6 16.4 9.8 0 -13.1 -20.9 -28.2
-34.2 -35.8 -25.8 -20.3 -9.4 3.4 14.1 7 1.4 -14.1 -24.1 -26.7
-35.4 -34.6 -25.2 -19.5 -5.9 5.2 14.1 14 3.3 -14.2 -21 -26.3
-36.9 -32.7 -30 -15.2 -10.5 4.9 12.1 8.3 -1 -12.3 -31.5 -33
-34.7 -28.4 -22.6 -19.5 -7.6 4 12.7 10.6 1.1 -13.8 -30.7 -34
-39 -31 -22.4 -15.6 -6.8 6 10.2 10 1.9 -18.6 -34.5 -33.3
-32 -32.5 -27.7 -17.9 -4.9 7.3 14 9.9 2.9 -12.8 -27.2 -20.7
-30.3 -34.6 -28.6 -13.2 -7.6 5.9 10.5 7.2 1.5 -16 -28.8 -36.5
-33.2 -36.5 -30.8 -15.2 -3.1 5.8 11.9 7.2 0.4 -17.7 -29 -34.6
-38.8 -31.5 -30.4 -20.3 -4.9 5.7 14.4 11.2 1.1 -9.3 -20.9 -38.7
-42.5 -44.9 -32.5 -20.1 -9.2 9.3 16.2 9.1 0.9 -15 -29.1 -29.6
-34.1 -29.9 -29.4 -16.3 -6.3 2.6 12.8 11.6 2 -8.3 -31.9 -21.9
-21.4 -31.8 -27.8 -16 -9.7 5.2 11.5 10.4 -0.2 -14 -20.4 -29.8
-37.2 -29.1 -30.8 -15.8 -8.9 3.8 11.9 11.7 1.6 -18 -32.5 -30.5
-30 -30 -24.6 -21.2 -7 6.5 11.4 11.3 3.3 -10.1 -19.4 -31.2
-26.8 -31.7 -26 -23.9 -7.6 6.5 18.6 8.4 3.2 -11.4 -27.4 -29.8
-34.7 -32.5 -26.8 -18.6 -8.4 8 12.2 9 2.6 -10.5 -21.5 -30
-34.2 -29.6 -28.8 -20.4 -7.5 3.8 15 8.6 0.6 -10 -22.2 -33.9
-40.7 -35.1 -30.1 -17.5 -6.5 1.4 13.2 9.8 1.8 -11.3 -28.5 -33.1
-28.5 -31.3 -26.7 -22.9 -5 7.8 11.3 8.7 2.6 -12.9 -25 -20.5
-32.7 -27.2 -23.3 -18.8 -4.6 1.5 9.9 7.2 -0.9 -12.8 -31.9 -27.7
-36 -31.1 -19.1 -12 -4.4 10 13.4 8.8 2.8 -12.8 -31.8 -33.1
-35.8 -37.3 -28.1 -16.8 -6.5 4.3 14.9 9 4.6 -13.1 -23 -28.3
-32.8 -33.4 -26.2 -20.3 -5 3 11.4 8.8 -1.5 -19.2 -27.7 -30.9
-27.5 -30.3 -22.4 -18.2 -5.9 6.1 8.7 8.9 2.6 -13.5 -23.1 -30.2
-37.6 -37.1 -21.7 -19 -6.9 4.3 13.9 6.7 0.4 -7.8 -26.8 -29.9
-31.3 -25.4 -24.3 -14.9 -8 4.6 13.8 11.8 0.7 -11 -26.8 -31.7
-34.9 -29.5 -23.8 -18.2 -1.2 2.3 14.2 8.5 -2.2 -11.4 -19.4 -35.2
-34 -35.9 -25.3 -9.2 -2.6 5.9 14.1 8.3 4.5 -6.1 -28.6 -34
-34 -36.2 -24.3 -19.3 -7.8 5.5 12.5 12.4 -1.8 -19.1 -29.5 -32
-34.6 -24.5 -31.5 -18 -4.1 6.4 13.3 9.2 1.2 -12.8 -24.3 -26.2
-32.5 -27.9 -27 -15.4 -4.6 5.2 13.3 12.9 1 -14 -27.4 -36.3
-38.6 -34.1 -28.8 -23.2 -4.5 10.2 15 10.8 2.2 -12.3 -16.9 -24.5
-39.8 -34.9 -20.8 -19.7 -9 10.2 14.2 11.4 -1.4 -12.9 -25.4 -32.6
-30.4 -36.7 -25.7 -16.2 -3.9 8.4 11.9 12.5 4.3 -11.5 -29.4 -25.8
-35.8 -37.9 -33 -17.9 -7.5 3.7 12.4 8.1 2.1 -12.7 -23.2 -29.4
-28.3 -29.6 -27.2 -16.7 -3.2 8 13.1 7.2 4.7 -10.7 -23.6 -27.2
-29.2 -26.9 -26.2 -21.5 -6.4 6.1 15.9 8.7 1.2 -14.4 -23.8 -26.4
-26.1 -41.2 -25.9 -12.6 -6.4 6.3 12.5 9.4 2.3 -7.9 -25.9 -32.1
-26.1 -32.4 -25.8 -16.6 -3.6 6.2 11.3 10.6 2.9 -8.4 -22.5 -30.1
-25.1 -35.2 -29.2 -13.2 -5.4 8 15 9.7 4.1 -7.2 -22.9 -35.5
-29.6 -35.1 -24.2 -13.7 -1.4 8.3 13.1 10 1.2 -10.9 -21.7 -32.8
-26.7 -33.2 -17.5 -10.6 -1.7 8.3 13.6 11.3 4.1 -9.1 -22.5 -24.4
-29.8 -24.4 -24.1 -14.7 -3.8 9.7 15.7 10.1 5 -10.2 -22.3 -28.4
-33.4 -36.5 -30.8 -15.2 -0.1 7.7 15.2 10.2 1.3 -10.8 -19.8 -30.1
