V1 V2 V3 V4 V5 V6 V7 V8 V9 V10 V11 V12
5.86 4.21 6.96 12.12 29.4 26.07 77.4 35.42 34.93 44.65 27.16 7.18
7.6 4.17 19.64 30.69 52.84 40.33 18.28 88.99 40.49 34.25 18.73 8.48
11.84 4.18 19.49 25.96 30.88 31.6 59.05 51.93 20.26 50.93 13.54 13.18
11.65 7.08 17.63 14.47 55.25 27.31 42.01 66.3 23.29 27.77 14.63 6.91
9.94 3.05 13.1 25.84 43.42 23.06 32.76 27.5 51.04 34.94 12.52 6.95
12.44 2.76 14.7 26.03 29.39 6.22 94.29 102.95 10.64 23.97 10.23 7.92
2.27 1.11 6.02 21.03 56.35 86.21 49.76 68.78 45.9 13.26 10.94 1.85
3.14 1.5 3.25 6.52 53.99 98.81 79.55 56.01 43.13 30.84 23.01 2.33
4.03 3.39 10.36 21.91 19.62 35.63 129.1 71.85 41.55 57.48 13.33 6.23
4.95 3.01 4.2 28.38 26.81 100.34 82.39 121.77 34.42 11.8 7.78 4.22
2.2 3.87 4.06 13.23 31.22 43.02 73.24 34.64 34.05 45.94 26.45 4.36
2.95 3.59 13.97 34.65 52.88 69.97 17.44 78.44 42.19 33.74 19.22 6.45
4.65 3.71 14.41 28.98 31.04 54.83 56.35 45.77 21.63 48.62 13.49 9.44
4.74 6.49 12.22 16.7 54.73 66.93 27.06 58.44 25.78 25.74 14.12 4.87
3.62 2.77 12.51 26.19 43.61 45.69 27.59 25.01 52.7 33.85 12.65 5.98
3.93 2.41 9.72 29.73 29.69 10.79 89.98 90.74 11.42 22.87 10.18 5.38
1.29 0.51 3.88 23.84 93.36 74.59 69.79 85.21 66.71 12.45 9.2 1.58
1.76 0.67 2.08 7.42 90.21 85 111.54 72.79 58.36 27.95 24.83 1.92
2.15 1.52 7.46 24.48 29.98 29.81 181.07 97.97 54.98 54.89 10.3 5.59
2.58 1.25 2.7 32.19 44.68 86.81 115.56 150.87 48.38 10.72 6.52 3.64
1.21 1.78 2.44 14.87 51.52 37.22 102.72 42.92 45.86 42.84 25.2 3.81
1.49 1.87 9.75 38.89 88.2 59.76 24.62 97.01 56.47 30.25 17.85 6.02
2.55 1.89 10.38 34.9 46.37 47.44 81.88 53.67 31.62 45.59 11.44 9.78
1.87 3 8.78 18.78 86.68 57.91 37.96 72.41 32.94 23.33 11.93 4.13
1.88 1.49 11.24 29.54 68.88 39.54 38.7 30.99 68.81 30.83 11.2 5.4
1.83 1.1 6.42 38.09 40.19 16.51 119.7 111.36 17.91 21.36 8 4.7
1.34 0.53 3.42 23.8 80.4 142.47 40.83 84.21 64.93 17.95 6.32 0.55
1.88 0.67 1.79 8.65 78.27 115.72 105.57 76.54 57.12 36.25 23.9 0.65
2.34 1.52 7.04 25.15 26.84 40.59 171.37 103.01 53.53 88.37 8.01 2.69
2.82 1.26 2.37 30.98 38.75 119.65 110.89 156.44 47.33 11.15 4.37 1.42
1.29 1.98 1.72 16.92 45.14 50.17 97.22 45.6 44.8 59 21.23 1.7
1.54 1.88 9.38 45.96 76.65 81.35 23.31 102.01 55.68 31.35 14.65 3.97
2.78 1.92 10.26 40.96 40.75 64.58 77.5 56.43 30.87 64.11 8.47 5.45
2.05 3.14 8.9 22.39 90.73 53.71 40.6 70.59 34.41 23.41 8.17 1.38
1.99 1.54 12.29 31.52 60.68 53.3 36.48 37.32 64.74 35.33 7.79 3.11
1.89 1.08 5.77 44.39 34.97 22.47 113.29 117.1 17.43 29.29 5.84 1.87
10.1 3.98 11.8 33.89 58.95 262.1 61.61 38.94 57.16 20.53 13.92 5.28
14.4 5.41 6.49 10.52 57.23 212.89 159.3 35.42 51.5 42.89 32.94 6.29
